Country/Terrain,Acute hepatitis,Alcohol use disorders,Alzheimer's/dementias,Cardiovascular diseases,Conflict/terrorismum,Diabetes,Diarrheal diseases,Digestive diseases,Drowning,Tuberculosis,Terrorism (deaths),Self-harm,respiratory diseaseses,Protein-energy malnutrition,Road injuries,Poisonings,Parkinson,Nutritional deficiencies,Neonatal disorders,Fire/hot substances,Neoplasms,Meningitis,Maternal disorders,Malaria,HIV/AIDS,Drug use disorders,Environmental heat and cold exposure,Exposure of nature,Lower respiratory infectionses,liver diseases,kidney disease,Interpersonal violence
Afghanistan,98108,3257,41998,1607042,280520,93207,245832,186959,56536,147637,39193,37054,209857,70163,208331,14530,13397,71453,697534,13559,469611,78666,129621,13924,4282,7094,2187,16770,822179,98419,134676,108228
African Region (WHO),525499,163833,1252189,24875081,1402850,3602991,24485553,7763233,801804,13028578,0,1651040,4564405,4778253,4839529,555599,318566,4940860,22661168,659574,11094707,5325372,2740727,21462693,28888674,53177,152369,27009,23007934,4578870,2779058,2056987
Albania,44,458,16549,270603,2145,4055,677,14907,2397,593,42,4587,22632,526,8522,500,4491,569,15567,636,102577,1323,246,0,57,634,164,89,26402,8717,7636,5242
Algeria,10492,2748,86914,2123720,30947,89035,34410,146527,24273,18089,11066,44966,168453,6407,369395,12337,22943,7138,395714,27628,469379,15685,29475,70,6101,10612,1041,4032,179379,91927,154666,16702
American Samoa,0,17,143,2851,10,970,89,341,120,30,0,100,612,60,164,0,69,60,246,0,1474,30,30,0,15,0,25,41,328,181,512,101
Andorra,30,30,614,3526,0,198,16,560,0,0,0,220,838,0,259,0,137,0,24,0,5015,0,0,0,85,0,0,0,390,283,292,15
Angola,14431,4289,17704,525047,54203,73366,810148,190974,34337,473636,2195,40895,101847,229863,241350,14022,4486,235181,554921,15712,237225,110893,61545,317069,244358,1190,3520,742,564508,119381,49080,20795
Antigua and Barbuda,0,138,428,5264,1,1329,62,566,120,11,0,65,246,84,187,8,117,87,253,60,3004,40,0,0,258,6,0,39,779,301,693,119
Argentina,1732,27147,261721,2836128,773,278201,23155,422716,24300,30389,125,127809,463952,41935,172081,8654,68278,44066,173947,20991,2113666,17548,12521,123,48615,1535,1567,425,697414,201480,357513,72506
Armenia,154,2592,15714,388635,357,34565,3402,38666,4519,3830,37,6308,35416,324,10213,1182,3739,817,14572,2944,154102,423,377,5,264,225,4172,13,18723,24100,7571,5250
Australia,288,13171,210625,1441279,55,100026,3949,146403,6818,2554,16,78158,251004,2899,57136,1417,48084,3778,19244,4013,1222858,1975,497,0,6067,23866,1272,259,87541,50555,94106,9659
Austria,98,11262,101351,1031672,30,59349,1495,105037,2406,2251,9,46764,85450,40,24587,822,23665,239,5440,1553,624487,1152,113,0,2005,4841,923,336,34197,60850,56142,2334
Azerbaijan,1385,6620,25190,1026714,5883,44141,17970,102820,13279,30739,258,9604,57915,1653,24840,2991,7147,2151,82492,14459,263680,4272,1611,32,1152,833,4232,208,146930,78289,29145,19861
Bahamas,9,379,1167,18249,15,3203,147,2655,714,242,1,278,1053,144,1751,36,323,170,1071,297,11673,123,109,0,4845,43,30,107,2208,1401,2086,2437
Bahrain,106,116,1015,25731,58,9552,263,3968,384,360,44,1897,3538,103,4618,58,331,109,2052,371,13173,113,167,0,276,59,17,0,1594,2411,2804,697
Bangladesh,166599,7907,227497,6123691,3456,597943,1579876,1250266,711803,1441614,933,260847,1750541,599026,249894,15411,75527,702268,2772388,47594,2064156,94565,314015,349375,4434,6583,4791,155003,2062670,768520,282841,112401
Barbados,9,173,2385,23478,10,7606,170,2710,349,70,3,398,1451,175,952,19,597,255,885,146,17933,134,59,0,1189,24,0,3,3911,1124,2496,902
Belarus,775,77811,83681,2310287,104,17117,814,118136,37908,17232,14,100503,131458,912,60793,17426,16259,1775,12194,24666,631190,2989,614,0,7361,8320,27053,43,40752,61628,12560,33747
Belgium,257,11944,138986,1037826,165,52810,15117,153724,2770,3692,51,68836,209375,6140,41391,1636,30009,7089,7634,4190,921997,1691,232,0,2996,4941,1402,44,152118,59178,62771,5780
Belize,11,175,855,9582,54,2757,442,1902,607,417,3,525,1325,361,1785,60,205,393,2127,107,5367,101,114,5,1842,21,0,64,2590,1151,1792,1935
Benin,6281,1401,13464,246509,31,29925,196720,79638,11517,79509,0,14955,44797,43399,45197,5654,3804,44748,321322,7791,101713,69978,34853,316834,80892,261,1751,122,271088,46718,33309,16162
Bermuda,0,30,562,5384,0,615,11,516,72,0,0,94,400,0,258,5,170,6,64,0,4156,10,0,0,313,33,0,6,418,233,391,63
Bhutan,650,158,1319,25967,13,2597,6418,7442,935,5631,9,1120,12813,665,2102,91,451,867,15910,272,9634,1565,1434,4241,615,39,51,263,8369,4355,2879,282
Bolivia,961,8816,24922,336227,25,69124,45190,131926,17931,80073,23,17950,76607,36918,58489,2843,9852,39396,155501,6173,273812,8475,20557,787,18229,1092,669,1172,224508,68986,78087,17062
Bosnia and Herzegovina,161,5464,22273,500781,27414,45187,351,38172,2063,6806,79,12940,37217,47,7110,1887,7552,117,7523,2000,237661,478,178,0,91,219,297,41,12429,20590,15439,3972
Botswana,325,665,2887,81565,8,20696,24860,20318,2607,29548,6,10560,18118,5265,15000,1091,807,5394,27934,2748,42180,3835,2068,662,263306,173,576,35,39769,10592,8749,9718
Brazil,8977,225603,924942,9589019,598,1315755,528838,1776565,250078,223259,133,345404,1743233,312031,1352192,7754,171324,333626,1667293,59981,5606779,136709,72806,39970,447733,15695,3037,6817,1997167,927027,820933,1762967
Brunei,97,31,401,10987,0,3592,67,1308,507,560,0,487,2274,12,1850,40,218,30,727,133,9522,57,74,0,99,83,26,3,1429,668,1354,168
Bulgaria,253,5238,69091,2423467,50,74257,932,125903,7408,7060,26,47203,99884,129,33528,2897,24665,315,9562,4586,555720,2152,565,0,1830,1664,4375,83,80506,77343,44226,9627
Burkina Faso,8774,2993,25070,441449,1383,58916,553691,142102,19688,178470,133,30023,60148,135194,102398,13499,6915,140980,451659,15183,187817,175973,46191,950762,333448,870,2958,156,613248,77027,55275,37008
Burundi,5160,1844,9765,262614,163935,34307,278912,81242,9904,259426,4205,19662,62573,89396,46865,6953,2688,92461,244032,7316,118648,45933,39659,320767,312891,291,2161,235,212757,47720,24401,2595
Cambodia,8616,3476,29730,610359,4859,68902,120610,293928,42415,258403,528,20553,108599,47177,82216,2619,7467,50348,205088,7357,278331,16138,32001,13505,104487,801,133,1685,507250,189074,46626,14445
Cameroon,16362,3772,26747,546358,7133,97869,718882,168672,16677,202990,2347,44504,101447,40188,139475,9994,9292,42368,446827,13303,263938,96161,82600,614095,743352,1280,3131,192,482863,99702,97328,18472
Canada,402,30411,317320,2213352,185,195320,29015,288628,9602,4676,16,133442,402093,7291,92479,4193,82441,8996,31372,9910,2112700,3088,768,0,17171,37251,3968,366,214127,123127,145149,16095
Cape Verde,215,84,2245,21424,0,2177,3818,4005,947,2485,0,1850,2803,699,1111,79,418,774,5153,409,12638,865,388,14,2985,19,50,12,7217,2489,1911,2135
Central African Republic,4039,1460,3533,166728,14808,23653,233318,53671,9175,226165,1987,15116,39544,37846,72709,4131,1235,38999,154874,4625,63736,31409,25629,134706,279310,279,1214,24,178957,27344,15374,11668
Chad,14871,1857,15577,307518,11663,35722,762160,114101,15683,196181,1119,20414,66005,122238,55181,8304,4519,124953,381761,10891,123767,116529,69912,195599,137491,247,2963,272,515058,62157,39464,21365
Chile,230,13931,83528,722163,44,76500,9474,200149,14523,18268,44,62462,131062,12987,69879,1520,24452,13622,29297,11910,683226,5139,2106,0,12667,1104,1451,1362,145744,126817,91121,25098
China,318564,485796,5381846,100505973,3043,3468554,886833,8924906,2873619,2708461,988,5078550,36676826,507664,8350399,770140,1533092,584236,4353666,383402,61060527,480899,243257,13418,433709,626914,198582,138961,8525819,4918899,4195276,776275
Colombia,749,2896,206135,1626208,33084,161139,61359,252124,40400,34691,8393,71521,346961,47592,224805,3442,33628,49530,276396,8913,1042371,21865,18788,22275,62413,2889,607,5883,214455,92316,174282,709555
Comoros,331,121,1576,25908,57,3494,14204,7092,516,10967,1,961,4368,3395,3669,352,361,3555,18235,446,11620,2652,1232,7616,19,35,131,15,17561,3741,2587,1457
Congo,1218,1175,5445,157498,16445,24062,99614,40923,3621,69715,182,10310,26271,11328,39775,1921,1623,11970,69747,2392,67958,11567,13664,69947,191273,449,573,28,64391,25051,15135,5894
Cook Islands,0,0,85,1392,0,617,30,121,30,3,0,69,213,0,142,0,34,0,40,0,719,0,0,0,16,0,0,20,272,60,136,0
Costa Rica,155,1844,21818,141587,6,11021,3355,34305,4516,2085,5,8768,28119,569,20799,270,3841,649,12095,630,116484,1259,710,6,4522,437,55,329,14100,18467,23033,10021
Cote d'Ivoire,8102,4412,20768,508223,5238,74322,356626,167433,18365,233951,268,46755,90757,41656,88588,10679,7400,43512,738820,14061,237471,102377,72153,941597,1063120,838,3589,196,597568,101618,77632,54438
Croatia,45,7910,43338,750842,7911,30633,550,76052,3119,4843,248,28210,46442,30,18995,847,11258,91,4701,1567,381548,802,128,0,302,1914,1041,13,26059,45633,21218,3029
Cuba,412,10775,90719,1003002,231,54973,11071,100145,9760,1809,8,56886,96288,1575,47723,726,18381,2036,11746,3595,608854,5586,2235,0,5894,544,309,198,161571,44142,50214,21050
Cyprus,27,221,5533,83156,7,14523,378,8567,847,182,5,1612,12054,124,5123,61,2107,155,1339,241,45435,131,33,0,83,353,168,5,4651,3550,7538,648
Czechia,173,10735,103792,1652941,17,59397,3658,136883,6929,2759,6,54379,87543,1301,36858,3645,22201,1553,7875,2755,861957,1832,206,0,356,2435,3738,81,82309,67652,32131,5216
